wl:mh,wl:hot,region,type,count,throughput,avg,p50,p95,p99,pMax
50,100000,us-west-2,too-old,1,0.0,788.5,805.3,805.3,805.3,805.3
50,100000,us-west-2,write,169611,1884.5,527.0,268.4,1543.5,1677.7,4831.8
50,100000,eu-west-1,deadlock,214,2.4,901.4,1040.2,1208.0,1208.0,1208.0
50,100000,eu-west-1,write,165899,1843.2,537.9,167.8,1610.6,1744.8,4831.8
50,100000,eu-west-2,deadlock,110,1.2,889.0,1040.2,1140.9,1208.0,1342.2
50,100000,eu-west-2,write,151853,1687.2,587.6,167.8,1677.7,1811.9,5100.3
50,10000,us-east-1,deadlock,110,1.2,772.7,805.3,1140.9,1208.0,1208.0
50,10000,us-east-1,too-old,3,0.0,2190.8,637.5,5905.6,5905.6,5905.6
50,10000,us-east-1,other,1,0.0,956.3,973.1,973.1,973.1,973.1
50,10000,us-east-1,write,174726,1941.3,507.8,302.0,1476.4,2550.1,18253.6
50,10000,us-east-2,deadlock,114,1.3,735.4,771.8,1073.7,1140.9,1409.3
50,10000,us-east-2,too-old,5,0.1,9871.7,10737.4,16643.0,16643.0,16643.0
50,10000,us-east-2,write,170467,1894.0,520.0,318.8,1543.5,2684.4,19327.4
50,10000,us-west-1,deadlock,276,3.1,844.6,939.5,1208.0,1342.2,1543.5
50,10000,us-west-1,too-old,6,0.1,3475.7,1208.0,9663.7,9663.7,9663.7
50,10000,us-west-1,write,122578,1361.9,725.8,536.9,2147.5,3489.7,24696.1
50,10000,us-west-2,deadlock,115,1.3,859.3,1006.6,1208.0,1342.2,1342.2
50,10000,us-west-2,too-old,5,0.1,6150.5,5368.7,16643.0,16643.0,16643.0
50,10000,us-west-2,write,129197,1435.5,689.8,520.1,2013.3,3221.2,19327.4
50,10000,eu-west-1,deadlock,95,1.1,851.7,939.5,1140.9,1275.1,1409.3
50,10000,eu-west-1,too-old,9,0.1,3801.0,1208.0,12884.9,12884.9,12884.9
50,10000,eu-west-1,write,124161,1379.5,717.8,570.4,2080.4,3489.7,24696.1
50,10000,eu-west-2,deadlock,88,1.0,942.1,1040.2,1140.9,1342.2,1677.7
50,10000,eu-west-2,too-old,11,0.1,7943.2,8589.9,16106.1,22548.6,22548.6
50,10000,eu-west-2,write,115589,1284.3,770.9,637.5,2281.7,3623.9,21474.8
50,1000,us-east-1,deadlock,170,1.9,34879.6,24696.1,81604.4,85899.3,90194.3
50,1000,us-east-1,too-old,21,0.2,22612.5,20401.1,62277.0,68719.5,68719.5
50,1000,us-east-1,other,12,0.1,22839.4,20401.1,47244.6,49392.1,49392.1
50,1000,us-east-1,write,5077,56.4,7297.9,872.4,49392.1,77309.4,90194.3
50,1000,us-east-2,deadlock,174,1.9,41245.5,36507.2,85899.3,90194.3,90194.3
50,1000,us-east-2,too-old,12,0.1,40153.5,32212.3,73014.4,73014.4,73014.4
50,1000,us-east-2,other,18,0.2,43255.4,47244.6,73014.4,85899.3,85899.3
50,1000,us-east-2,write,3740,41.6,10293.7,973.1,68719.5,85899.3,90194.3
50,1000,us-west-1,deadlock,144,1.6,52887.7,57982.1,85899.3,90194.3,90194.3
50,1000,us-west-1,too-old,5,0.1,62760.2,77309.4,81604.4,81604.4,81604.4
50,1000,us-west-1,other,13,0.1,57445.2,57982.1,81604.4,85899.3,85899.3
50,1000,us-west-1,write,3337,37.1,14056.1,1677.7,81604.4,90194.3,90194.3
50,1000,us-west-2,deadlock,103,1.1,42996.5,40802.2,81604.4,90194.3,90194.3
50,1000,us-west-2,too-old,9,0.1,44023.4,42949.7,85899.3,85899.3,85899.3
50,1000,us-west-2,other,14,0.2,38089.1,34359.7,68719.5,81604.4,81604.4
50,1000,us-west-2,write,3080,34.2,15792.1,1543.5,81604.4,90194.3,90194.3
50,1000,eu-west-1,deadlock,88,1.0,50842.9,62277.0,85899.3,90194.3,90194.3
50,1000,eu-west-1,too-old,4,0.0,60297.3,64424.5,90194.3,90194.3,90194.3
50,1000,eu-west-1,other,6,0.1,36015.1,10737.4,64424.5,64424.5,64424.5
50,1000,eu-west-1,write,3042,33.8,18310.0,1610.6,85899.3,90194.3,90194.3
50,1000,eu-west-2,deadlock,79,0.9,43137.9,53687.1,81604.4,85899.3,90194.3
50,1000,eu-west-2,too-old,6,0.1,41775.3,30064.8,77309.4,77309.4,77309.4
50,1000,eu-west-2,other,3,0.0,62634.9,64424.5,68719.5,68719.5,68719.5
50,1000,eu-west-2,write,3195,35.5,18204.9,1744.8,81604.4,90194.3,90194.3
50,100,us-east-1,deadlock,2527,28.1,19521.7,15569.3,49392.1,73014.4,90194.3
50,100,us-east-1,too-old,28,0.3,21462.9,15032.4,57982.1,62277.0,62277.0
50,100,us-east-1,other,42,0.5,15686.7,12884.9,34359.7,42949.7,42949.7
50,100,us-east-1,write,570,6.3,14203.7,9126.8,49392.1,73014.4,81604.4
50,100,us-east-2,deadlock,2298,25.5,21232.6,16106.1,55834.6,77309.4,90194.3
50,100,us-east-2,too-old,28,0.3,23787.7,14495.5,81604.4,85899.3,85899.3
50,100,us-east-2,other,32,0.4,23639.1,19327.4,47244.6,90194.3,90194.3
50,100,us-east-2,write,447,5.0,16718.2,11811.2,55834.6,81604.4,90194.3
50,100,us-west-1,deadlock,2355,26.2,24453.5,17179.9,73014.4,85899.3,90194.3
50,100,us-west-1,too-old,28,0.3,20223.7,15569.3,62277.0,62277.0,62277.0
50,100,us-west-1,other,46,0.5,25928.8,18253.6,77309.4,90194.3,90194.3
50,100,us-west-1,write,447,5.0,17759.4,11811.2,60129.5,81604.4,90194.3
50,100,us-west-2,deadlock,2186,24.3,22911.9,18253.6,57982.1,81604.4,90194.3
50,100,us-west-2,too-old,27,0.3,25123.6,20401.1,55834.6,64424.5,64424.5
50,100,us-west-2,other,35,0.4,25232.9,20401.1,57982.1,90194.3,90194.3
50,100,us-west-2,write,378,4.2,20195.7,15569.3,60129.5,81604.4,90194.3
50,100,eu-west-1,deadlock,2061,22.9,22737.1,16643.0,62277.0,77309.4,90194.3
50,100,eu-west-1,too-old,30,0.3,28194.7,23622.3,53687.1,66572.0,66572.0
50,100,eu-west-1,other,49,0.5,25934.2,19327.4,77309.4,81604.4,81604.4
50,100,eu-west-1,write,450,5.0,19889.6,15032.4,60129.5,77309.4,90194.3
50,100,eu-west-2,deadlock,2103,23.4,24210.1,19327.4,66572.0,77309.4,90194.3
50,100,eu-west-2,too-old,25,0.3,24744.4,16106.1,68719.5,77309.4,77309.4
50,100,eu-west-2,other,41,0.5,23694.3,15032.4,57982.1,85899.3,85899.3
50,100,eu-west-2,write,481,5.3,23304.7,18253.6,66572.0,81604.4,90194.3
50,10,us-east-1,deadlock,428,4.8,34248.2,32212.3,68719.5,77309.4,77309.4
50,10,us-east-1,too-old,3,0.0,73372.4,90194.3,90194.3,90194.3,90194.3
50,10,us-east-1,other,2,0.0,5637.1,5368.7,6174.0,6174.0,6174.0
